Bloco,Layout Descritivo
"Bloco 0 – Abertura, Identificação e Referências",|0000|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0001|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0005|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0015|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0100|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0150|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0175|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0190|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0200|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0205|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0206|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0210|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0220|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0300|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0305|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0400|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0450|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0460|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0500|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0600|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
"Bloco 0 – Abertura, Identificação e Referências",|0990|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C001|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C100|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C101|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C102|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C103|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C104|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C105|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C106|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C107|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
